"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"17206_phnM",10.345494434013,-0.550236829327542,0.43079697367929,-1.27725323747787,0.201512857142816,0.243685436718862,phnM,K06162,b4095
"17207_phnL",5.88638672526371,-0.228768285370614,0.516963658726735,-0.442522954000409,0.658110823824637,0.699190352955093,phnL,K05780,b4096
"17209_phnJ",21.7206884786362,0.319715809463571,0.536960918183731,0.595417280171913,0.551564577522904,0.599485044727326,phnJ,K06163,b4098
"17210_phnI",11.4918987514946,0.0679829485569182,0.624567618570688,0.108848019870924,0.913323035707316,0.926656218710343,phnI,K06164,b4099
"17211_phnH",8.02784431968488,0.271162250583545,0.757056980949626,0.358179446735182,0.72020902740185,0.754590865393396,phnH,K06165,b4100
"17212_phnG",0.705974229069737,0.084370337665052,0.655973105430216,0.128618592693245,0.897659453666407,0.912985346777785,phnG,K06166,b4101
"17213_phnF",3.38438800823915,0.520279135620698,0.524240476199679,0.992443657522025,0.320981151179295,0.371631115340396,phnF,K02043,b4102
"17215_phnD",21.6141850892815,1.08315591006046,0.612802559068166,1.76754469124201,0.0771370513621792,0.102006819507491,phnD,K02044,b4105
"17216_phnC",5.1561538044693,0.261851200267812,0.681928225255254,0.383986452782179,0.700988488375244,0.737541294329209,phnC,K02041,b4106
"17217_hypothetical_protein",60.4393631993799,-1.20092926055601,0.363131600334651,-3.30714611300495,0.000942517166369141,0.00170511782375675,phnB,K04750,b4107
"17218_hypothetical_protein",1840.11718735428,1.92089554678937,0.168471257467179,11.401918497365,4.09005168250162e-30,9.93525175691171e-29,phnA,K06193,b4108
"17221_proP_2",1633.54797946592,0.177938707815678,0.28941631053377,0.614819211424216,0.538674120520378,0.586493755240202,proP,K03762,b4111
"17222_hypothetical_protein",62.7081353244576,0.993489367910782,0.309680524189946,3.20811058593215,0.00133610112681058,0.00235417254878878,proP,K03762,b4111
"17223_basS",210.150589853186,-0.117017452869771,0.149071784259659,-0.784973853039456,0.432468899019326,0.484566585466347,basS,K07643,b4112
"17224_basR",231.475231581216,-0.129959314084199,0.209110102025524,-0.62148749785573,0.534278917877183,0.58221509256477,basR,K07771,b4113
"17226_adiC",19.70253567171,0.117662718338595,0.436726264920855,0.269419835236881,0.787606623982244,0.817333792286841,yjdE,NA,b4115
"17227_gadX_2",61.6176171537465,-0.459077318181434,0.574643137908903,-0.798891151562331,0.424353530121708,0.476326842693814,adiY,K03755,b4116
"17228_adiA",83.0568646362959,0.56352568712897,0.358280730292748,1.57286071921456,0.115751072327584,0.148213502028462,adiA,K01584,b4117
"17229_melR",118.476444733769,-1.51010882452657,0.45222091995263,-3.33931659925142,0.000839847869289247,0.00153267641791517,melR,NA,b4118
"17230_melA",1041.17074083946,-4.24225762742515,0.379753668960382,-11.1710773961416,5.64914631137326e-29,1.27334811450954e-27,melA,K07406,b4119
"17233_fumB",1185.83594105644,-1.12549927588065,0.252157576873737,-4.46347593371833,8.06406595802005e-06,1.878612013684e-05,fumB,K01676,b4122
"17234_dcuB",81.6395540256169,-0.308809854811583,0.48869351109224,-0.631909055066818,0.527446306060688,0.57577253829138,dcuB,K07792,b4123
"17235_dcuR",147.962717587887,-0.986878760117095,0.212329240048626,-4.64787025984309,3.3537973662174e-06,8.26719311357234e-06,dcuR,K07703,b4124
"17236_dcuS",484.619574960822,-0.543347230005993,0.183422266371237,-2.96227519567492,0.00305374712976102,0.00510045081352608,yjdH,K07701,b4125
"17237_hypothetical_protein",218.066259632246,-2.81036599960717,0.328155050552807,-8.56414062460064,1.08884883353378e-17,7.87369879046682e-17,yjdI,NA,b1316
"17238_Acetyltransferase_-GNAT-_family_protein",330.346745262083,-2.90826702622922,0.470982972189143,-6.1748878366271,6.62104581109087e-10,2.4290112345087e-09,yjdJ,NA,b4127
"17239_hypothetical_protein",23.4520800075795,-1.95615312755765,0.488368143851873,-4.00548879402537,6.18893679905167e-05,0.00013045256841809,yjdK,NA,b1316
"17242_yjdL",476.267752265559,-0.40455987778204,0.369204915244797,-1.09575972875064,0.273183936346046,0.321952995166183,yjdL,K03305,b4130
