"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11"
"15137_allS_1",758,69,979,104,465,32,731,11,665,63,415,105,549,188,639,7,656,1,642,11,389,81
"15140_yefM",2436,282,2014,590,2957,98,3921,85,2888,1528,1128,83,1734,312,1407,496,2534,1215,1316,30,1153,593
"15159_putative_colanic_acid_biosynthesis_protein",102,35,604,59,165,7,404,7,150,5,73,10,104,33,109,61,160,9,149,1,424,4
"15162_wzxC_2",29,13,49,8,31,0,42,1,32,2,29,2,23,7,40,3,42,1,85,0,15,5
"15173_putative_glycosyl_transferase",34,15,64,4,23,1,20,0,23,0,25,3,47,20,32,0,24,2,94,2,25,3
"15175_wfgD",45,29,31,5,33,1,24,0,29,0,50,1,26,4,28,16,21,1,12,2,160,0
"15224_gatC_1",158,0,206,10,209,1,429,38,77,1,66,2,72,7,75,2,107,0,55,1,36,4
"15251_AAA_domain_-dynein-related_subfamily-",160,34,208,47,105,2,49,11,160,8,107,53,5,2,41,53,109,4,67,0,32,25
"15252_hypothetical_protein",241,34,194,53,90,4,123,22,264,19,202,67,122,77,240,125,153,5,181,7,290,14
"15254_SWIM_zinc_finger_protein",187,15,133,28,88,14,124,8,208,19,90,20,158,64,152,2,495,2,210,5,91,20
"15270_fabG_1",133,10,451,11,167,14,530,0,318,30,488,17,271,20,403,64,232,2,104,4,168,24
"15287_cirA_1",13025,98,21150,1445,12807,381,18160,1376,12006,681,4669,8739,3187,332,7967,8116,446,46,10574,110,588,108
"15312_yejE",629,87,462,22,621,189,676,32,540,37,540,86,499,157,432,7,554,3,1364,9,362,117
"15343_alkB",109,10,200,28,124,12,90,4,115,6,190,17,204,51,178,2,115,0,85,3,45,9
"15369_yfaY",1493,210,1563,207,1762,25,1498,385,1993,97,2257,187,1623,519,1394,648,1273,4,2912,50,1562,332
"15375_arnA",397,36,560,25,636,37,609,1,573,108,1211,16,1306,53,1822,159,856,9,1358,5,292,32
"15385_menD",1077,489,1097,1111,1122,125,1017,127,2457,298,1068,703,1256,1892,896,32,881,5,995,47,730,787
"15408_sdcS",373,29,595,42,455,20,636,118,445,7,401,13,339,41,366,84,522,3,535,5,380,52
"15419_folX",2576,617,4273,1468,4252,360,5529,109,3599,2946,2626,381,4526,842,3397,1220,3517,3292,2725,48,2546,7
"15426_argT",2728,90,1909,248,390,43,2588,40,3336,475,1598,136,2682,177,495,195,359,0,5148,23,387,126
"15455_papC_1",405,39,1119,93,474,19,1452,7,843,166,251,15,185,25,1018,795,200,14,205,8,17,2
"15459_fadI",345,18,227,20,214,12,149,1,349,40,6088,62,146,66,604,1,176,1,206,4,145,15
"15464_yfdC",263,8,692,16,193,8,352,41,281,4,469,10,256,40,528,3,234,1,194,2,101,26
"1548_mbtI",971,10,856,45,1032,50,780,80,309,2587,611,58,705,1767,799,9,1393,29,200,175,2360,2791
"1549_muropeptide_transporter",122,8,180,9,193,11,274,50,90,874,131,19,180,712,193,6,360,12,36,74,629,1417
"15519_dsdA_1",309,76,244,33,340,7,368,112,1019,49,216,43,301,269,4176,4,211,0,638,4,110,17
"1552_pchR",8914,17,16681,130,12597,72,7544,30,3088,391,7462,68,6853,360,8253,9,7426,10,1793,11,6620,289
"15547_yfgF_1",1903,368,4068,1298,4149,149,2527,1305,2405,315,2166,376,2545,6000,1719,65,1672,16,3364,119,1638,1149
"15551_hcaR_1",1884,133,288,6,1220,245,448,4,396,31,183,20,246,54,356,7,299,1,177,0,138,41
